	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
27975	tt0028459	movie	The Vandergilt Diamond Mystery	The Vandergilt Diamond Mystery	0	1936	\N	60	Comedy
1775050	tt1839550	video	Loser	Loser	0	2011	\N	16	Drama,Short,Thriller
4979610	tt8381772	tvEpisode	Episode dated 18 September 2016	Episode dated 18 September 2016	0	2016	\N	180	\N
4422729	tt7196338	movie	Idahosa Trails	Idahosa Trails	0	2017	\N	110	Drama
4436394	tt7225228	short	Just this once	Just this once	0	2016	\N	10	Drama,Short
2107703	tt2188932	short	Neither With You Nor Without You	Ni Contigo Ni Sin Ti	0	2012	\N	30	Documentary,Drama,Short
2317902	tt2452184	tvEpisode	Episode #17.197	Episode #17.197	0	2012	\N	115	Talk-Show
2591111	tt3109346	tvShort	Doomplex	Doomplex	0	2010	\N	5	Comedy,Horror,Short
4663257	tt7709044	tvEpisode	Christmas 2015	Christmas 2015	0	2015	\N	1	\N
3115968	tt4302814	movie	Lichtgestalten	Lichtgestalten	0	2015	\N	81	Drama
1220223	tt1261949	video	Small Windows	Small Windows	1	1972	\N	83	Drama,Romance
4396358	tt7139706	short	Rick	Rick	0	2017	\N	9	Horror,Mystery,Short
103056	tt0105316	movie	Sarafina!	Sarafina!	0	1992	\N	117	Drama,Musical
2649889	tt3245344	short	Miracle of the Murderers	Miracle of the Murderers	0	2013	\N	18	Drama,Short
2380527	tt2605290	tvMovie	Hotel 13 estrellas 12 uvas	Hotel 13 estrellas 12 uvas	0	2012	\N	59	Comedy
2452682	tt2778454	movie	Money for Nothing	Money for Nothing	0	2013	\N	78	Documentary
770854	tt0794656	tvEpisode	Dollars to Donuts	Dollars to Donuts	0	1984	\N	24	Comedy
935260	tt0964519	video	Foot Tease	Foot Tease	1	2003	\N	54	\N
4715982	tt7820776	tvEpisode	Hammock + Balcony	Hammock + Balcony	0	2018	\N	43	Action,Adventure,Drama
1065765	tt1099857	tvEpisode	Whittier vs. Venice	Whittier vs. Venice	0	2006	\N	22	Comedy
4673796	tt7731470	short	Each Coming Day	Each Coming Day	0	2016	\N	12	Drama,Short
4936790	tt8290786	tvEpisode	D is for Distraction	D is for Distraction	0	2018	\N	51	Documentary,Sport
1349844	tt1397102	short	Take Notice	Take Notice	0	2008	\N	2	Short,Thriller
2076348	tt2153523	tvEpisode	Episode #1.2	Episode #1.2	0	2012	\N	60	Crime,Drama
1222342	tt1264158	tvEpisode	Episode #1.9	Episode #1.9	0	1977	\N	54	Drama,History,Romance
3353227	tt4833618	tvEpisode	Poultry in Motion	Poultry in Motion	0	2014	\N	21	Reality-TV
793469	tt0817946	movie	Phaanjit bit raboet rak	Phaanjit bit raboet rak	0	2006	\N	90	Comedy
3914931	tt6089458	movie	M/M	M/M	0	2018	\N	81	Drama,Mystery,Thriller
1173481	tt1213048	short	Ergastiri 82	Ergastiri 82	0	1982	\N	7	Animation,Short
3896457	tt6048408	short	Elizabeth	Elizabeth	0	2016	\N	23	Documentary,Short
197259	tt0205096	short	The Good Doctor	The Good Doctor	0	2000	\N	30	Drama,Short
2286602	tt2391817	movie	Ee Rojullo	Ee Rojullo	0	2012	\N	129	Comedy,Romance
